disease_name,url,image_url
Acne affecting the back,https://dermnetnz.org/topics/acne-affecting-the-back-images,https://dermnetnz.org/assets/manualthumbnails/acne/acne-back/preview/141__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Acne affecting the face,https://dermnetnz.org/topics/acne-face-images,https://dermnetnz.org/assets/Uploads/Screen-Shot-2018-01-25-at-8__FocusFillWzE1MCwxMTAsIngiLDFd.28.37-PM.png
Acne and other follicular disorder,https://dermnetnz.org/image-catalogue/acne-and-other-follicular-disorder-images,https://dermnetnz.org/assets/Uploads/ocular-rosacea-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Acquired dermal macular hyperpigmentation,https://dermnetnz.org/topics/acquired-dermal-macular-hyperpigmentation-images,https://dermnetnz.org/assets/Uploads/scaly/lp-pigmentosus1__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Acral lentiginous melanoma,https://dermnetnz.org/topics/acral-lentiginous-melanoma-images,https://dermnetnz.org/assets/Uploads/20160516-165503__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Actinic keratosis affecting the face,https://dermnetnz.org/topics/actinic-keratosis-face-images,https://dermnetnz.org/assets/Uploads/248__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis affecting the hand,https://dermnetnz.org/topics/actinic-keratosis-affecting-the-hand-images,https://dermnetnz.org/assets/Uploads/393__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis affecting the legs and feet,https://dermnetnz.org/topics/actinic-keratosis-leg-and-foot-images,https://dermnetnz.org/assets/Uploads/478__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis affecting the scalp,https://dermnetnz.org/topics/actinic-keratosis-scalp-images,https://dermnetnz.org/assets/Uploads/418__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis dermoscopy,https://dermnetnz.org/topics/actinic-keratosis-dermoscopy-images,https://dermnetnz.org/assets/Uploads/lesions/ak-face/actinic-keratosis-dermoscopy9__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis on the nose,https://dermnetnz.org/topics/actinic-keratosis-on-the-nose-images,https://dermnetnz.org/assets/Uploads/sks-nose3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Actinic keratosis treated with imiquimod,https://dermnetnz.org/topics/actinic-keratosis-imiquimod-images,https://dermnetnz.org/assets/Uploads/3723__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Adalimumab,https://dermnetnz.org/topics/adalimumab-images,https://dermnetnz.org/assets/Uploads/adalimumab3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Alopecia areata,https://dermnetnz.org/images/alopecia-areata-images,https://dermnetnz.org/assets/Uploads/1323__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg
Amelanotic melanoma,https://dermnetnz.org/topics/amelanotic-melanoma-images,https://dermnetnz.org/assets/Uploads/12a-amelanotic-melanoma__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Anal cancer,https://dermnetnz.org/topics/anal-cancer-images,https://dermnetnz.org/assets/Uploads/ain-1-s-1__FocusFillWzE1MCwxMTAsInkiLDEzXQ.jpg
Angiofibromas,https://dermnetnz.org/topics/angiofibromas-images,https://dermnetnz.org/assets/Uploads/angiofibromas-19-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Angiokeratomas,https://dermnetnz.org/topics/angiokeratoma-images,https://dermnetnz.org/assets/Uploads/angiokeratoma-2__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Angular cheilitis,https://dermnetnz.org/topics/angular-cheilitis-images,https://dermnetnz.org/assets/Uploads/perleche13-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Arthropod bites,https://dermnetnz.org/image-catalogue/insect-mite-and-worm-bite-images,https://dermnetnz.org/assets/Uploads/leishmaniasis2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Atopic dermatitis,https://dermnetnz.org/topics/atopic-dermatitis-images,https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Atopic eczema,https://dermnetnz.org/topics/atopic-dermatitis-images,https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Atopic flexural eczema,https://dermnetnz.org/topics/atopic-flexural-eczema-images,https://dermnetnz.org/assets/Uploads/flexural-eczema10-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Atypical melanocytic naevus,https://dermnetnz.org/topics/atypical-naevus-images,https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Atypical mycobacterial infection,https://dermnetnz.org/topics/atypical-mycobacterial-infection-images,https://dermnetnz.org/assets/Uploads/m-marinum-2-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Atypical naevus,https://dermnetnz.org/topics/atypical-naevus-images,https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Autoimmune alopecia,https://dermnetnz.org/images/alopecia-areata-images,https://dermnetnz.org/assets/Uploads/1323__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg
B-K mole,https://dermnetnz.org/topics/atypical-naevus-images,https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
BCC affecting the ear,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
BCC affecting the eyelid,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
BCC affecting the face,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
BCC affecting the nose,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
BCC affecting the trunk,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Bacteria,https://dermnetnz.org/image-catalogue/bacterial-skin-infection-images,https://dermnetnz.org/assets/Uploads/syph6-s-2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Bacterial skin infection,https://dermnetnz.org/image-catalogue/bacterial-skin-infection-images,https://dermnetnz.org/assets/Uploads/syph6-s-2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Balanitis,https://dermnetnz.org/topics/balanitis-images,https://dermnetnz.org/assets/Uploads/balanitis4-s-1__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg
Basal cell carcinoma affecting the ear,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Basal cell carcinoma affecting the eyelid,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the face,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the nose,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
